FieldsheetNo,Context,Mesosquare,Date,Time,Compiled by,TotalTime,Visibility,SlopeGradient,Aspect,Vegetation,LandUse,Topography,SoilTypes,SurfaceCondition,Member1,Member2,Member3,Member4,Member1count,Member2count,Member3count,Member4count,TotalCount,FieldPhoto,FieldPhotoDate,FieldPhotoTakenBy,FieldPhotoTakenFrom,FieldPhotoComments,AdditionalPhoto1,AdditionalPhoto1Date,AdditionalPhoto1TakenBy,AdditionalPhoto1TakenFrom,AdditionalPhoto1Comments,AdditionalPhoto2,AdditionalPhoto2Date,AdditionalPhoto2TakenBy,AdditionalPhoto2TakenFrom,AdditionalPhoto2Comments,Feature1photo,Feature1Type,Feature1GPS,Feature1Notes,Feature1Finds,Feature1Previouslyexcavated,Feature2Photo,Feature2Type,Feature2GPS,Feature2Notes,Feature2Finds,Feature2PreviouslyExcavated,Feature3Photo,Feature3Type,Feature3GPS,Feature3Finds,Feature3Notes,Feature3PreviouslyExcavated,Feature4Photo,Feature4Type,Feature4GPS,Feature4Notes,Feature4Finds,Feature4PreviouslyExcavated,Notes,Feature5Photo,Feature5Type,Feature5GPS,Feature5Notes,Feature5Finds,Feature5PreviouslyExcavated,Feuture6Photo,Feuture6Type,Feature6GPS,Feature6Notes,Feature6Finds,Feature6PreviouslyExcavated,Feature7Photo,Feature7Type,Feature7GPS,Feature7Notes,Feature7Finds#,Feature7PreviouslyExcavated,Feature8Photo,Feature8Type,Feature8GPS,Feature8Notes,Feature8Finds,Feature8PreviouslyExcavated,AdditionalPhoto3,AdditionalPhoto3Date,AdditionalPhoto3TakenBy,AdditionalPhoto3TakenFrom,AdditionalPhoto3Comments,AdditionalPhoto4,AdditionalPhoto4Date,AdditionalPhoto4TakenBy,AdditionalPhoto4TakenFrom,AdditionalPhoto4Comments,Additionalphotograph1comment,Additionalphotograph2comment,Additionalphotograph3comment,Additionalphotograph4comment,Additionalphotograph5comment,Additionalphotograph6comment,Additionalphotograph7comment,Additionalphotograph8comment,Additionalphotograph9comment,Additionalphotograph10comment
108,199,B52.3,16-07-2014,07:05:00,AB,20,2550,(2-20%),E,"Olive
Cereals
Maquis",,Hill Slope,"Gravel
Sand
Bedrock",Dry,TS,SdS,SdW,AR,20,35,36,74,165,,,,NE,,,,,,,,,,,,,,"37.740139
24.052330
57.261177
5
10
0.014107",Sudden elevation in landscape with possible remnants of wall. Photo taken from SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,199,B52.2,16-07-2014,07:55:00,AB,20,2550,(2-20%),E,"Cereals
Maquis
Olive",,Hill Slope,"Sand
Gravel
Bedrock",Dry,DvA,MK,SdS,MKO,71,41,52,27,191,,,,SE,,,,,,,,,,,,,,"37.740281
24.052712
83.470367
10
16
0.008417",Dump from earlier necropolis excavations? Photo from SW.,,,,,,See feature 1, same dump taken from NW,,,,,,,Rubble heap taken from NW,,,,,See feature 3, closeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,199,B52.4,16-07-2014,07:55:00,AB,20,2550,(2-20%),E,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,MH,TS,AR,SdW,34,32,82,56,204,,,,NE,,,,,,,,,,,,,,"37.740013
24.052645
49.036934
10
17
0.005563",Possible exavation, grave? Dump next to it on the south side. Taken from N.,,,,,"37.740131
24.052679
58.661045
5
9
0.004880",Square cutting in bedrock. Taken from S.,,,,,"37.740251
24.052737
79.360672
5
10
0.009744",,Wall running N-S, taken from N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,200,B53.3,16-07-2014,08:35:00,AB,20,2550,(2-20%),E,"Olive
Cereals
Maquis",,Hill Slope,"Sand
Gravel
Bedrock",Dry,SdW,TS,SdS,MKO,25,20,42,27,114,,,,NE,,,,,,,,,,,,,,"37.740396
24.051835
71.990585
5
10
10.894006",big bedrock plateau, many smaller ones in macrosquare,,,,,,,,,,,,,,,,,,,,,many bedrock plateaus in the western part of the macrosquare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,200,B53.4,16-07-2014,08:35:00,AB,20,2550,(2-20%),E,"Olive
Cereals
Maquis",,Hill Slope,"Sand
Gravel
Bedrock",Dry,MH,AR,DvA,MK,37,47,26,33,143,,,,NW,,,,,,,,,,,,,,"37.740600
24.052627
59.911827
5
10
0.014338",Wall running N-S crossing over from B53.4 into B53.2. Also see feeldsheet 114. Taken from NW.,,,,,,More northern part of same wall taken from NW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,200,B53.1,16-07-2014,09:10:00,AB,20,2550,(2-20%),E,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,SdW,MKO,SdS,TS,30,14,35,21,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,200,B53.2,16-07-2014,09:10:00,AB,20,2550,(2-20%),E,"Olive
Cereals
Maquis",,Hill Slope,"Sand
Gravel",Dry,DvA,MK,MH,AR,22,28,29,39,118,,,,,,,,,,,,,,,,,,"37.740913
24.052684
57.583912
5
10
0.003339",Wall running N-S crossing over from B53.4 into B53.2. Also see feeldsheet 114. Taken from NW.,,,,,"37.740728
24.052739
65.152054
5
10
0.008598",More northern part of same wall taken from NW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,201,C52.1,17-07-2014,06:20:00,AB,20,2550,(2-20%),E,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,DK,AR,SC,WT,36,13,14,42,105,,,,SE,,,,,,,,,,,,,,,Dump starting in WT and crossing into the square to the east. Taken from W.,,,,,,See feature 1, closeup from W.,,,,,"37.740291
24.053095
71.874382
5
10
0.023908",,Excavated grave, photo taken from W.,Yes,,,"37.740219
24.053083
65.350845
5
10
0.010795",Taken from W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,201,C52.3,17-07-2014,06:20:00,AB,20,2550,(2-20%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,KT,TS,ID,MKO,46,15,27,17,105,,,AB,S,,,,,,,,,,,,,,"37.740067
24.053249
62.274200
5
9
0.011068",dump from previous excavations (also used this year). Photo taken from NW.,,,,,"37.740171
24.053164
65.972038
5
10
0.002118",possible structure 201.3-2. Wall running N-S and possibly making a 90 degree turn towards east at its south end. Taken from W.,,,,,,,See feature 2. Taken from SW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,202,C53.1,17-07-2014,07:05:00,AB,20,25,(2-20%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand",Dry,KT,WT,SC,MKO,5,5,22,4,36,,,,SW,,,,,,,,,,,,,,"37.740725
24.053076
60.294800
5
10
0.053113",Terrace wall/structure from west.,,,,,,Same wall from east.,,,,,,,,,,,,,,,very bad visibility due to thorny buses covering the whole macro square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,202,C53.3,17-07-2014,07:05:00,AB,20,25,(2-20%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand",Dry,ID,TS,DK,AR,9,12,66,23,110,,,,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very bad visibility due to thorny buses covering the whole macro square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,202,C53.2,17-07-2014,08:00:00,AB,20,25,(2-20%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,WT,KT,MKO,DK,9,33,10,50,102,,,,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very bad visibility due to thorny buses covering the whole macro square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,202,C53.4,17-07-2014,08:00:00,AB,20,25,(2-20%),E,"Cereals
Maquis",,Hill Slope,"Gravel
Sand",Dry,TS,ID,AR,SC,12,31,27,14,84,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very bad visibility due to thorny buses covering the whole macro square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,203,D53.1,17-07-2014,08:40:00,AB,20,25,(2-20%),E,"Olive
Cereals
Maquis",Wasteland,,,,KT,MKO,DK,WT,7,5,41,26,79,,,,SE,,,,,,,,,,,,,,"37.740666
24.053506
88.950249
10
18
0.011822",large stone outcrop ,,,,,,large rocks in a line forming a wall? ,,,,,"37.740663
24.053625
66.406807
10
17
0.011732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,203,D53.3,17-07-2014,08:40:00,AB,20,25,(2-20%),E,"Olive
Cereals
Maquis",Wasteland,,,,ID,AR,SC,TS,84,59,53,20,216,,,,NE,,,,,,,,,,,,,,,Taken from N.,,,,,,,,,,,,,,,,,,,,,"necropolis borders on southern part of this square (SC, TS)

many marble slabs in the area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,203,D53.2,17-07-2014,09:15:00,AB,20,25,(20-35%),E,"Cereals
Maquis
Olive",,Hill Slope,"Sand
Gravel",Dry,MKO,SC,WT,KT,3,5,14,13,35,,,,S,,,,,,,,,,,,,,,,,,,,,overgrown hill/dump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,203,D53.4,17-07-2014,09:15:00,AB,20,25,(20-35%),E,"Olive
Cereals
Maquis",,Hill Slope,"Gravel
Sand",Dry,AR,DK,TS,ID,35,33,18,73,159,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,204,E53.3,18-07-2014,06:30:00,AB,20,2550,(20-35%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Bedrock
Sand",Dry,DK,AR,WT,DvA,150,69,78,82,379,,,,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,204,E53.1,18-07-2014,07:00:00,AB,20,2550,(20-35%),E,"Cereals
Maquis",,Hill Slope,"Sand
Gravel",Dry,WT,DvA,DK,AR,11,43,71,60,185,,,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,204,E53.2,18-07-2014,07:30:00,AB,20,2550,(20-35%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,DvA,WT,AR,DK,60,27,73,111,271,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,204,E53.4,18-07-2014,08:04:00,AB,20,5075,(20-35%),E,"Cereals
Maquis",Wasteland,,"Sand
Gravel",Dry,AR,DK,DvA,WT,63,97,97,112,369,,,,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,206,F53.3,18-07-2014,08:35:00,AB,20,2550,(20-35%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,DK,DvA,WT,AR,72,89,33,51,245,T14.205.3,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,206,F53.2,19-07-2014,06:32:00,AB,20,5075,(20-35%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand",Dry,ID,DK,WT,TS,38,68,48,56,210,,,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.740663
24.053625
66.406807
10
17
2707.094771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,206,F53.4,19-07-2014,06:35:00,AB,20,5075,(20-35%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,DvA,JvR,AR,MK,114,49,192,57,412,,,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,206,F53.1,19-07-2014,07:25:00,AB,20,5075,(20-35%),E,,,,,,AR,ID,DK,DvA,69,49,58,57,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,207,G53.1,19-07-2014,07:25:00,AB,20,5075,(20-35%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand
Bedrock",Dry,JvR,WT,TS,MK,74,137,51,65,327,,,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,many scattered stones possibly from walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,207,G53.2,19-07-2014,08:30:00,AB,20,5075,(+35%),E,,,,,,WT,JvR,MK,AR,79,60,77,64,280,,19-07-2014,AB,W,,,,,,,,,,,,,,,Walls of watchtower taken from SE,,,,,"37.740754
24.055460
143.852615
5
10
0.005930",Walls taken from E.,,,,,,,Top of Velatouri with visible watchtower walls.,,,,,,,,velatouri summit with watchtower WT JvR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,207,G53.4,19-07-2014,08:30:00,AB,20,5075,(+35%),E,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,DvA,DK,TS,ID,133,103,30,169,435,,,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,207,G53.3,21-07-2014,06:30:00,AB,20,5075,(20-35%),NE,"Cereals
Olive
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,IvD,WT,JvR,MK,46,58,38,50,192,T14.107.3,21-07-2014,AB,SW,,,,,,,,,,,,,,"37.740633
24.055547
165.191162
10
17
0.011662",outcrop/dump? very close to top. photo from SW,,,,,,same feature from SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,177,G52.1,21-07-2014,07:10:00,AB,20,5075,(20-35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand",Dry,JvR,MK,IvD,WT,32,30,60,60,182,,,AB,SW,,,,,,,,,,,,,,"37.740168
24.055311
130.941986
5
9
0.004442",marble with graffiti-like inscriptions, some very faded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,177,G52.2,21-07-2014,07:45:00,AB,20,2550,(20-35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,MK,JvR,WT,IvD,48,56,26,33,163,,,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bushes JvR and IvD.

when surveyed earlier, there were problems with the GPS. To be thourough, the square was surveyed again with working GPS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,177,G52.4,21-07-2014,08:25:00,AB,20,2550,(20-35%),N,"Cereals
Maquis
Olive",,Hill Slope,"Sand
Gravel",Dry,WT,IvD,MK,JvR,49,16,19,19,103,,,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,when surveyed earlier, there were problems with the GPS. To be thourough, the square was surveyed again with working GPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,177,G52.3,22-07-2014,06:35:00,AB,20,2550,(+35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,IvD,DvA,WT,JvR,64,103,60,84,311,,,AB,NE,,,,,,,,,,,,,,"37.739977
24.055340
100.085281
10
15
0.015377",177.3-4 (jvr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,205,F52.4,22-07-2014,07:15:00,AB,20,2550,(20-35%),NE,"Maquis
Cereals
Olive",Wasteland,Hill Slope,"Sand
Gravel",Dry,JvR,IvD,DvA,WT,83,29,275,112,499,,,,,,,,,,,,,,,,,,"37.740036
24.054766
90.266975
10
19
0.008218",205.4-3 DvA rubble heap,,,,,"37.739917
24.054904
101.328880
10
19
0.009252",large shred concentration DvA ,,,,,,,,,,,,,,,large bush severely obstructing the western corners of the square (205.4-1 and -3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,205,F52.2,22-07-2014,08:00:00,AB,20,5075,(20-35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,WT,IvD,JvR,DvA,47,34,90,92,263,,,,,,,,,,,,,,,,,,"37.740241
24.055044
116.043686
10
19
0.000373",205.2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,205,F52.1,22-07-2014,08:35:00,AB,20,2550,(20-35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,IvD,WT,DvA,JvR,27,18,73,33,151,,,,N,,,,,,,,,,,,,,"37.740130
24.054638
114.238022
10
19
0.008491",rubble heap DvA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,205,F52.3,22-07-2014,09:12:00,AB,20,2550,(20-35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,DvA,JvR,WT,IvD,82,61,31,85,259,,,,NE,,,,,,,,,,,,,,"37.740033
24.054707
94.539337
30
57
0.009835",rubble heap JvR ,,,,,,,,,,,"37.739442
24.055833
68.782242
10
17
0.011529",,,,,,"37.739472
24.056070
77.519920
10
9
0.014584",,,,lots of rubble (loose stones) in area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,208,E52.4,23-07-2014,06:30:00,AB,20,5075,(20-35%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,JvR,MKO,IvD,WT,104,51,85,54,294,,,AB,SW,,,,,,,,,,,,,,"37.738485
24.055091
43.263630
5
10
0.083949",on our way up,,,,,,4 terrace walls / rubble heaps running northwest to southeast, in entire macrosquare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,208,E52.2,23-07-2014,07:00:00,AB,20,5075,(20-35%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,IvD,WT,JvR,MKO,47,73,77,60,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,208,E52.1,23-07-2014,07:25:00,AB,20,2550,(20-35%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,MKO,IvD,WT,JvR,36,45,81,99,261,,,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,208,E52.3,23-07-2014,07:55:00,AB,20,5075,(20-35%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand",Dry,WT,JvR,MKO,IvD,62,86,84,62,294,,,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,209,D52.4,23-07-2014,08:25:00,AB,20,2550,(20-35%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,JvR,WT,IvD,MKO,38,44,37,55,174,,,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,209,D52.2,23-07-2014,08:55:00,AB,20,2550,(2-20%),E,"Cereals
Maquis
Olive",,Hill Slope,Gravel,Dry,MKO,IvD,JvR,WT,34,18,38,30,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,129,F1.1,09-07-2013,12:15:00,TP,20,2550,(20-35%),N,"Olive
Maquis",Wasteland,Hill slope,"Bedrock
Sand
Gravel",Dry,SC,MP,CL,SDS,44,41,11,23,119,T13.129.1,09-07-2013,SVW,NW,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,129,F1.2,10-07-2013,08:00:00,WVA,20,2550,(20-35%),N,"Olive
Cereals
Maquis",Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,CL,SdS,SC,WvA,37,40,45,64,186,T13.129.2,10-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,129,F1.3,10-07-2013,07:55:00,SVW,20,2550,(20-35%),N,"Cereals
Maquis",Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,SvW,AP,TP,33,9,6,9,57,T13.129.3,10-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,129,F1.4,10-07-2013,08:33:00,SVW,20,2550,(20-35%),N,"Cereals
Maquis",Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,AP,WvA,SC,CL,4,27,8,25,64,T13.129.4,10-07-2013,SVW,NW,,,,,,,,,,,,T13.129.4,Mine Shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,130,G1.1,10-07-2013,09:05:00,SVW,20,2550,(20-35%),N,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,MP,SdS,SC,WvA,22,23,41,30,116,T13.130.1,10-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,130,G1.2,10-07-2013,09:05:00,SVW,20,2550,(20-35%),N,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,AP,TP,SvW,CL,31,46,48,20,145,T13.130.2,10-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,130,G1.3,10-07-2013,09:40:00,SVW,20,2550,(20-35%),N,"Cereals
Maquis",Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SDS,SC,CL,SvW,25,32,21,10,88,T13.130.3,10-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,130,G1.4,10-07-2013,09:40:00,SVW,20,2550,(20-35%),N,"Maquis
Cereals",Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,WvA,AP,TP,56,14,43,15,128,T13.130.4,10-07-2013,SVW,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,131,H1.1,10-07-2013,11:00:00,SVW,20,2550,(+35%),N,"Cereals
Maquis",Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SC,TP,WvA,AP,90,97,22,55,264,T13.131.1,10-07-2013,SVW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,131,H1.2,10-07-2013,11:00:00,SVW,20,2550,(+35%),N,"Cereals
Maquis",Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SVW,MP,CL,SdS,50,69,27,26,172,T13.131.2,10-07-2013,SVW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,H1.3,10-07-2013,11:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SDS,,,,,,,,97,T13.131.3,10-07-2013,SVW,NE,,,,,,,,,,,,T13.131.3,Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,H1.4,10-07-2013,11:40:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SVW,,,,,,,,118,T13.131.4,10-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,I1.1,10-07-2013,12:20:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,WVA,,,,,,,,228,T13.132.1,10-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,I1.2,10-07-2013,12:20:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SVW,,,,,,,,204,T13.132.2,10-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,I1.3,11-07-2013,08:22:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,TP,,,,,,,,101,T13.132.3,11-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,I1.4,11-07-2013,09:00:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,WVA,,,,,,,,101,T13.132.4,11-07-2013,SVW,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,J1.1,11-07-2013,09:35:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Sand",Dry,ABO,,,,,,,,134,T13.133.1,11-07-2013,WVA,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
